pitcher_name,pitcher_id,game_date,season,team,opponent,strikeouts,innings_pitched,batters_faced,pitches_thrown,hits,walks,home_runs,is_home,park_k_factor,game_id
Andrew Abbott,abboa001,2025-04-12,2025,CIN,PIT,5,5.0,19,78,2,2,1,1,1.0,CIN202504120
Andrew Abbott,abboa001,2025-04-18,2025,CIN,BAL,11,6.0,21,75,2,1,1,0,1.0,BAL202504180
Andrew Abbott,abboa001,2025-04-25,2025,CIN,COL,4,4.0,21,76,5,5,1,0,0.92,COL202504250
Andrew Abbott,abboa001,2025-05-01,2025,CIN,SLN,3,4.0,18,64,3,4,0,1,1.0,CIN202505010
Andrew Abbott,abboa001,2025-05-06,2025,CIN,ATL,8,5.0,19,77,4,0,0,0,1.02,ATL202505060
Andrew Abbott,abboa001,2025-05-13,2025,CIN,CHA,7,6.0,22,84,4,0,0,1,1.0,CIN202505130
Andrew Abbott,abboa001,2025-05-18,2025,CIN,CLE,5,5.0,22,88,4,3,0,1,1.0,CIN202505180
Andrew Abbott,abboa001,2025-05-24,2025,CIN,CHN,2,5.7,23,68,6,2,1,1,1.0,CIN202505240
Andrew Abbott,abboa001,2025-05-30,2025,CIN,CHN,8,7.0,23,78,1,1,0,0,0.97,CHN202505300
Andrew Abbott,abboa001,2025-06-04,2025,CIN,MIL,6,6.0,26,89,7,1,2,1,1.0,CIN202506040
Andrew Abbott,abboa001,2025-06-10,2025,CIN,CLE,5,9.0,31,106,3,1,0,0,1.04,CLE202506100
Andrew Abbott,abboa001,2025-06-17,2025,CIN,MIN,5,5.7,26,84,8,0,2,1,1.0,CIN202506170
Andrew Abbott,abboa001,2025-06-22,2025,CIN,SLN,3,7.0,25,84,4,0,0,0,1.0,SLN202506220
Andrew Abbott,abboa001,2025-06-28,2025,CIN,SDN,4,5.0,24,89,7,2,1,1,1.0,CIN202506280
Andrew Abbott,abboa001,2025-07-04,2025,CIN,PHI,2,3.3,19,57,9,0,1,0,1.01,PHI202507040
Andrew Abbott,abboa001,2025-07-09,2025,CIN,MIA,5,7.7,30,84,6,2,0,1,1.0,CIN202507090
Andrew Abbott,abboa001,2025-07-20,2025,CIN,NYN,5,6.0,25,80,6,1,0,0,1.06,NYN202507200
Andrew Abbott,abboa001,2025-07-26,2025,CIN,TBA,7,6.0,23,86,2,3,1,1,1.0,CIN202507260
Andrew Abbott,abboa001,2025-07-31,2025,CIN,ATL,1,5.3,25,85,5,5,0,1,1.0,CIN202507310
Andrew Abbott,abboa001,2025-08-06,2025,CIN,CHN,3,6.7,29,87,7,2,2,0,0.97,CHN202508060
Andrew Abbott,abboa001,2025-08-11,2025,CIN,PHI,6,7.7,28,89,6,0,0,1,1.0,CIN202508110
Andrew Abbott,abboa001,2025-08-17,2025,CIN,MIL,7,7.0,24,88,4,0,0,1,1.0,CIN202508170
Andrew Abbott,abboa001,2025-08-23,2025,CIN,ARI,6,4.0,21,60,8,0,2,0,1.03,ARI202508230
Andrew Abbott,abboa001,2025-08-30,2025,CIN,SLN,7,5.0,22,77,3,4,0,1,1.0,CIN202508300
Andrew Abbott,abboa001,2025-09-05,2025,CIN,NYN,5,4.7,25,81,9,1,1,1,1.0,CIN202509050
Andrew Abbott,abboa001,2025-09-10,2025,CIN,SDN,6,8.0,30,88,5,2,1,0,1.08,SDN202509100
Andrew Abbott,abboa001,2025-09-16,2025,CIN,SLN,7,4.7,22,84,8,0,1,0,1.0,SLN202509160
Andrew Abbott,abboa001,2025-09-21,2025,CIN,CHN,2,4.7,20,77,5,1,0,1,1.0,CIN202509210
Andrew Abbott,abboa001,2025-09-27,2025,CIN,MIL,4,5.3,21,79,5,0,1,0,1.05,MIL202509270
Mick Abel,abelm001,2025-05-18,2025,PHI,PIT,9,6.0,22,65,5,0,0,1,1.01,PHI202505180
Mick Abel,abelm001,2025-06-04,2025,PHI,TOR,2,5.3,19,66,3,0,0,0,1.0,TOR202506040
Mick Abel,abelm001,2025-06-10,2025,PHI,CHN,3,4.0,20,78,6,3,3,1,1.01,PHI202506100
Mick Abel,abelm001,2025-06-16,2025,PHI,MIA,3,5.0,20,63,3,1,0,0,0.98,MIA202506160
Mick Abel,abelm001,2025-06-21,2025,PHI,NYN,1,3.0,15,60,6,0,4,1,1.01,PHI202506210
Mick Abel,abelm001,2025-06-27,2025,PHI,ATL,0,0.0,0,0,0,0,0,0,1.02,ATL202506270
Mick Abel,abelm001,2025-07-02,2025,PHI,SDN,3,1.7,12,51,2,5,0,1,1.01,PHI202507021
Mick Abel,abelm001,2025-08-23,2025,MIN,CHA,2,3.0,17,53,7,2,1,0,0.99,CHA202508230
Mick Abel,abelm001,2025-09-27,2025,MIN,PHI,9,6.0,21,69,3,1,0,0,1.01,PHI202509270
Travis Adams,adamt002,2025-08-04,2025,MIN,DET,7,5.0,17,46,4,0,1,0,1.0,DET202508040
Travis Adams,adamt002,2025-08-12,2025,MIN,NYA,2,2.3,15,58,4,4,2,0,0.99,NYA202508120
Keegan Akin,akink001,2025-04-26,2025,BAL,DET,1,1.7,6,23,0,1,0,0,1.0,DET202504262
Keegan Akin,akink001,2025-05-20,2025,BAL,MIL,2,1.0,4,17,0,1,0,0,1.05,MIL202505200
Keegan Akin,akink001,2025-06-12,2025,BAL,DET,2,1.0,5,19,1,1,0,1,1.0,BAL202506120
Sandy Alcántara,alcas001,2025-03-27,2025,MIA,PIT,7,4.7,20,80,2,4,0,1,0.98,MIA202503270
Sandy Alcántara,alcas001,2025-04-01,2025,MIA,NYN,4,5.0,18,65,3,0,1,1,0.98,MIA202504010
Sandy Alcántara,alcas001,2025-04-12,2025,MIA,WAS,1,5.7,25,85,5,4,0,1,0.98,MIA202504120
Sandy Alcántara,alcas001,2025-04-18,2025,MIA,PHI,1,2.0,12,49,4,2,1,0,1.01,PHI202504180
Sandy Alcántara,alcas001,2025-04-23,2025,MIA,CIN,4,6.0,25,75,5,2,1,1,0.98,MIA202504230
Sandy Alcántara,alcas001,2025-04-29,2025,MIA,LAN,2,2.7,20,65,7,5,1,0,1.03,LAN202504290
Sandy Alcántara,alcas001,2025-05-05,2025,MIA,LAN,4,5.0,22,72,6,1,2,1,0.98,MIA202505050
Sandy Alcántara,alcas001,2025-05-11,2025,MIA,CHA,8,5.7,26,83,7,3,1,0,0.99,CHA202505110
Sandy Alcántara,alcas001,2025-05-17,2025,MIA,TBA,3,5.0,23,89,5,2,0,1,0.98,MIA202505170
Sandy Alcántara,alcas001,2025-05-23,2025,MIA,ANA,6,5.3,25,83,5,2,1,0,0.99,ANA202505230
Sandy Alcántara,alcas001,2025-05-28,2025,MIA,SDN,0,4.0,21,69,7,4,0,0,1.08,SDN202505280
