key_retro,name_last,name_first
bradj002,Bradley,Jed
barrm002,Barrios,Manuel
martf102,Martin,Frank
browb101,Browne,Byron
jackj702,Jackson,John
darir101,Daringer,Rolla
calif101,Caligiuri,Fred
hernl003,Hernández,Liván
kellw104,Kelly,W. H.
korcs101,Korcheck,Steve
cookw901,Cook,R. F.
snydp101,Snyder,Pop
westu901,West,Edward
suckt101,Suck,Tony
knudm001,Knudson,Mark
sadlc002,Sadler,Casey
helfh101,Helf,Hank
ohkat001,Ohka,Tomo
scotj101,Scott,Jack
littl101,Littleton,Larry
ringt701,Ringolsby,Tracy
millo002,Miller,Owen
lewim001,Lewis,Mark
asenm001,Asencio,Miguel
edmat001,Edman,Tommy
thomk101,Thomas,Kite
vasqj001,Vásquez,Jorge
bradn101,Brady,Neal
roacj101,Roach,John
reynb103,Reynolds,Bill
meekj001,Meeker,James
castd004,Castillo,Diego
gileg101,Giles,George
kellb104,Kelly,Billy
branm102,Brannock,Mike
berga101,Bergman,Al
hessg101,Hesselbacher,George
monte101,Montague,Ed
thomb101,Thomas,Bill
cookl101,Cook,Les
bakej104,Baker,Jesse
currp102,Curran,John
tebep102,Tebeau,Pussy
fordt101,Ford,Tom
smitb112,Smith,Bill
tannl101,Tannehill,Lee
coffs101,Coffman,George
carrd104,Carrithers,Don
saboa101,Sabo,Alex
webbb701,Webb,Bob
woulj101,Woulfe,Jimmy
grift102,Griffith,Tommy
mcgrs101,McGrew,Slim
doylj101,Doyle,Jeff
maskl101,Maskrey,Leech
russf101,Russell,Frank
jonea106,Jones,A.
skopj101,Skopec,John
xiqul101,Xiqués,Leovigildo
smitg901,Smith,George
logac101,Logan,Coley
smitd005,Smith,Dan
cessl001,Cessa,Luis
cacec101,Cacek,Craig
dewac101,Dewald,Charlie
washh101,Washington,Herb
valdj101,Valdez,Julio
meled101,Mele,Dutch
penat003,Peña,Tony
walkj102,Walkup,Jim
willd102,Williams,Davey
joned108,Jones,David
jensj101,Jensen,Jackie
zastr001,Zastryzny,Rob
kingl102,King,Lynn
woodk001,Woodson,Kerry
doylj105,Doyle,Jess
shang101,Shanahan,Greg
stanj103,Stanley,Joe
mastt001,Mastny,Tom
schnd001,Schneider,Davis
blanf901,Blandford,Fred
haynl101,Haynes,Leroy
esheg901,Eshelman,George
pruee101,Pruess,Earl
petta002,Pettyjohn,Adam
ramih003,Ramírez,Hanley
sante101,Santry,Edward
riggj101,Riggert,Joe
hayej104,Hayes,Johnny
bakef103,Baker,Floyd
davig104,Davis,G.
forbf101,Forbes,Frank
low-f101,Low,Fletcher
russr102,Russell,Reb
smitt002,Smith,Tyler
jarvr102,Jarvis,Roy
duffb102,Duffy,Bill
wilse103,Wilson,Elmer
cardl101,Cárdenas,Leo
nippa001,Nipper,Al
mageb101,Magee,Bill
herrh101,Herring,Herb
goocl101,Gooch,Lee
sippt001,Sipp,Tony
valee002,Valent,Eric
brask101,Brashear,Kitty
conlj101,Conlon,Jocko
longj101,Long,Jeoff
milem101,Miley,Mike
mailw101,Mails,Duster
snelc001,Snelling,Chris
creed001,Creek,Doug
johnr101,Johnson,Randy
mitcj001,Mitchell,John
repkj001,Repko,Jason
durrt001,Durrington,Trent
woodj101,Wood,Joe
moskd001,Moskos,Daniel
